Team ID,Team name,Player ID,Player name
8984,Vendsyssel FF,51585,Daniel Christensen
8984,Vendsyssel FF,51653,Kasper Povlsen
8984,Vendsyssel FF,88567,Ninos Gouriye
8984,Vendsyssel FF,95668,Jeppe Illum
8984,Vendsyssel FF,102005,Alexander Juel Andersen
8984,Vendsyssel FF,113774,Søren Henriksen
8984,Vendsyssel FF,119647,Mohamed Diarra
8984,Vendsyssel FF,124142,Nicolai Flø
8984,Vendsyssel FF,155544,Marcus Solberg
8984,Vendsyssel FF,158554,Jeppe Svenningsen
8984,Vendsyssel FF,160844,Morten Knudsen
8984,Vendsyssel FF,165925,Lucas Jensen
8984,Vendsyssel FF,171691,Emmanuel Ogude
8984,Vendsyssel FF,226972,Mads Boe Mikkelsen
8984,Vendsyssel FF,233494,Benjamin Lund
8984,Vendsyssel FF,235899,Andreas Albech
8984,Vendsyssel FF,242304,Brandao
8984,Vendsyssel FF,247384,Frederik Ibsen
8984,Vendsyssel FF,423802,Jakob Hjorth
8984,Vendsyssel FF,423804,Moses Opondo
8984,Vendsyssel FF,451410,Andreas Kaltoft
8984,Vendsyssel FF,451411,Mikkel Frankoch
8984,Vendsyssel FF,453936,Allan Hövenhoff
8984,Vendsyssel FF,453941,Sebastian Czajkowski
