Team ID,Team name,Player ID,Player name
1409,Esbjerg fB,20086,Agus Garcia
1409,Esbjerg fB,49829,Markus Halsti
1409,Esbjerg fB,57076,Rodolph Austin
1409,Esbjerg fB,62811,Joni Kauko
1409,Esbjerg fB,82294,Brent McGrath
1409,Esbjerg fB,84533,Jesper Lauridsen
1409,Esbjerg fB,93777,Lasha Parunashvili
1409,Esbjerg fB,95417,Yuri Yakovenko
1409,Esbjerg fB,97672,Nikolaj Hagelskjær
1409,Esbjerg fB,144045,Jeppe Højbjerg
1409,Esbjerg fB,176432,Jeppe Brinch
1409,Esbjerg fB,179251,Jonas Jensen
1409,Esbjerg fB,179437,Lasse Mikkelsen
1409,Esbjerg fB,179459,Mark Brink
1409,Esbjerg fB,207326,Adrian Petre
1409,Esbjerg fB,209987,Anders Dreyer
1409,Esbjerg fB,213296,Mathias Kristensen
1409,Esbjerg fB,227701,Daniel Anyembe
1409,Esbjerg fB,231698,Oti
1409,Esbjerg fB,235546,Jacob Lungi Sørensen
1409,Esbjerg fB,451413,William Møller
1409,Esbjerg fB,451414,Klaus Moesgaard
1409,Esbjerg fB,451505,Mads Larsen
1409,Esbjerg fB,454664,Simon Bækgård
