Team ID,Team name,Player ID,Player name
545,OB,3489,Anders K. Jacobsen
545,OB,51988,Kenneth Emil Petersen
545,OB,62016,Sten Michael Grytebust
545,OB,83572,Nicklas Helenius
545,OB,86362,Ryan Laursen
545,OB,88208,Troels Kløve
545,OB,89408,Rasmus Festersen
545,OB,96565,Alexander Ludwig
545,OB,116696,André Rømer
545,OB,121166,Casper Nielsen
545,OB,140246,Mikkel Desler
545,OB,153822,Jacob Barrett Laursen
545,OB,165859,Thomas Mikkelsen
545,OB,185061,Jens Jakob Thomasen
545,OB,192100,Jeppe Tverskov
545,OB,192647,Mathias Greve
545,OB,207276,Marco Lund
545,OB,226969,Julius Eskesen
545,OB,227118,Yao Dieudonne
545,OB,243349,Oliver Christensen
545,OB,447101,Jonathan Harboe
545,OB,447810,Mathias Jørgensen
545,OB,454656,Mads Frökjaer
