Team ID,Team name,Player ID,Player name
420,AGF,39664,Martin Spelmann
420,AGF,48715,Jesper Juelsgård
420,AGF,55903,Björn Daniel Sverrisson
420,AGF,56625,Pierre Kanstrup
420,AGF,61778,Tobias Sana
420,AGF,77443,Niklas Backman
420,AGF,88217,Bror Blume
420,AGF,89226,Jakob Ankersen
420,AGF,89443,Adama Guira
420,AGF,102912,Mustafa Amini
420,AGF,120566,Dino Mikanovic
420,AGF,135354,Casper Højer Nielsen
420,AGF,155713,Aleksandar Jovanovic
420,AGF,157704,Kasper Junker
420,AGF,171580,Oscar Whalley
420,AGF,222353,Jens Stage
420,AGF,226885,Benjamin Hvidt
420,AGF,227062,Mustapha Bundu
420,AGF,231223,Nimo Gribenco
420,AGF,243724,Kasper Lunding
420,AGF,249137,Sebastian Hausner
420,AGF,421775,Magnus Kaastrup
420,AGF,424532,André Riel
420,AGF,424809,Daniel Thøgersen
